1,potato,468.48837209302326,41,0.9318181818181818
2,potato,258.5348837209302,4,0.09090909090909091
1,tst123,732.6976744186046,42,0.9545454545454546
2,tst123,965.2558139534884,44,1
3,tst123,691.7209302325581,44,1
4,tst123,780.8372093023256,44,1
5,tst123,912.7674418604652,43,0.9772727272727273
1,tst123,497.3255813953488,42,0.9545454545454546
2,tst123,569.5348837209302,35,0.7954545454545454
3,tst123,644.3255813953489,42,0.9545454545454546
4,tst123,476.1162790697674,41,0.9318181818181818
5,tst123,802.4651162790698,41,0.9318181818181818
3,potato,177.11627906976744,0,0
1,yqx8es,1050.7441860465117,44,1
2,yqx8es,1008.3023255813954,43,0.9772727272727273
3,yqx8es,701.4883720930233,44,1
4,yqx8es,686.8837209302326,43,0.9772727272727273
5,yqx8es,596.7906976744187,44,1
1,tst123,286.27906976744185,7,0.1590909090909091
1,tst123,515.3953488372093,43,0.9772727272727273
1,kbd5hv,1062.3255813953488,44,1
1,tst123,713.3488372093024,44,1
2,tst123,507.3720930232558,44,1
3,tst123,488.4186046511628,43,0.9772727272727273
4,tst123,627.4186046511628,43,0.9772727272727273
5,tst123,700.3255813953489,43,0.9772727272727273
2,tst123,242.93023255813952,3,0.06818181818181818
1,tst345,141.02325581395348,0,0
3,tst123,183.30232558139534,0,0
2,tst345,151.58139534883722,0,0
4,tst123,236,0,0
3,tst345,172.5581395348837,0,0
4,tst345,152.41860465116278,0,0
5,tst123,224.06976744186048,0,0
5,tst345,161.95348837209303,0,0
1,Test 1,582.3488372093024NaN1121.5,558,43,0.9772727272727273
2,Test 1,504.09302325581393NaN1892.25,253.75,15,0.3409090909090909
3,Test 1,178.5581395348837NaN148.25,385.75,0,0
4,Test 1,166.3953488372093NaN141,312.75,3,0.06818181818181818
4,Test 1,169.62790697674419NaN149.5,200.5,0,0
5, Test 1, 165.7906976744186NaN139.5, 340.25, 3, 0.06818181818181818
1, asdfasdf, 196.5581395348837, 142, 465.75, 5, 0.11363636363636363
2, asdfasdf, 183.97674418604652, 255, 373.75, 5, 0.11363636363636363
3, asdfasdf, 533.8372093023256, 617.75, 523, 0, 0
4, asdfasdf, 455.1860465116279, 128.5, 239.5, 0, 0
5, asdfasdf, 503.13953488372096, 512.5, 511.5, 1, 0.022727272727272728
1, asdfasdfasdf, 251.15625, 215, 269.75, 0, 0
2, asdfasdfasdf, 218.53125, 391, 149.75, 0, 0
3, asdfasdfasdf, 167.875, 178.75, 145, 1, 0.030303030303030304
0.2, asdfasdfasdf, 159.21875, 157.5, 156.5, 4, 0.12121212121212122
undefined, asdfasdfasdf, 151.375, 181, 221.75, 1, 0.030303030303030304
0.6, eeqw, 180.5, 216.25, 262.25, 3, 0.09090909090909091
4, eeqw, 162.5, 168.5, 155, 2, 0.06060606060606061
3,2, eeqw, 167.25, 176.25, 193.75, 0, 0
1,0.6, asf, 169.9375, 139, 243.5, 2, 0.06060606060606061
